"GroupsName","AccountName","AccountType","AccountAllowedForDelegation","|","DelegationAccountName","DelegationAccountType","DelegationType","VulnerableServices","newEscalationPath"
"Administrators,Schema Admins,Enterprise Admins,Domain Admins","Administrator@research.com","User","Yes","|","srvAccWithConsDlg@research.com","User","Constrained Delegation","Dfsr-12F9A27C-BF97-4787-9364-D31B6C55EB04/DC-2012.research.com,DNS/DC-2012.research.com,E3514235-4B06-11D1-AB04-00C04FC2DCD2/c218f035-6fb6-4232-b101-c80a6a9603ae/research.com,exchangeAB/DC,exchangeAB/DC-2012,exchangeAB/DC-2012.research.com,GC/DC/research.com,GC/DC-2012.research.com/research.com,GC/DC-2012/research.com,HOST/DC,HOST/DC/RESEARCH,HOST/DC/research.com,HOST/DC-2012,HOST/DC-2012.research.com,HOST/DC-2012.research.com/RESEARCH,HOST/DC-2012.research.com/research.com,HOST/DC-2012/RESEARCH,HOST/DC-2012/research.com,HOST/SERVER-2016,HOST/Server-2016.research.com,http/openDlgSPN,ldap/c218f035-6fb6-4232-b101-c80a6a9603ae._msdcs.research.com,ldap/DC,ldap/DC/DomainDnsZones.research.com,ldap/DC/ForestDnsZones.research.com,ldap/DC/RESEARCH,ldap/DC/research.com,ldap/DC-2012,ldap/DC-2012.research.com,ldap/DC-2012.research.com/DomainDnsZones.research.com,ldap/DC-2012.research.com/ForestDnsZones.research.com,ldap/DC-2012.research.com/RESEARCH,ldap/DC-2012.research.com/research.com,ldap/DC-2012/DomainDnsZones.research.com,ldap/DC-2012/ForestDnsZones.research.com,ldap/DC-2012/RESEARCH,ldap/DC-2012/research.com,RestrictedKrbHost/DC,RestrictedKrbHost/DC-2012,RestrictedKrbHost/DC-2012.research.com,RestrictedKrbHost/SERVER-2016,RestrictedKrbHost/Server-2016.research.com,RPC/c218f035-6fb6-4232-b101-c80a6a9603ae._msdcs.Mars.local,RPC/c218f035-6fb6-4232-b101-c80a6a9603ae._msdcs.research.com,SQL/service,TERMSRV/DC,TERMSRV/DC-2012,TERMSRV/DC-2012.research.com,WSMAN/Server-2016,WSMAN/Server-2016.research.com",""
"Administrators,Domain Admins","James@research.com","User","Yes","|","srvAccWithConsDlg@research.com","User","Constrained Delegation","Dfsr-12F9A27C-BF97-4787-9364-D31B6C55EB04/DC-2012.research.com,DNS/DC-2012.research.com,E3514235-4B06-11D1-AB04-00C04FC2DCD2/c218f035-6fb6-4232-b101-c80a6a9603ae/research.com,exchangeAB/DC,exchangeAB/DC-2012,exchangeAB/DC-2012.research.com,GC/DC/research.com,GC/DC-2012.research.com/research.com,GC/DC-2012/research.com,HOST/DC,HOST/DC/RESEARCH,HOST/DC/research.com,HOST/DC-2012,HOST/DC-2012.research.com,HOST/DC-2012.research.com/RESEARCH,HOST/DC-2012.research.com/research.com,HOST/DC-2012/RESEARCH,HOST/DC-2012/research.com,HOST/SERVER-2016,HOST/Server-2016.research.com,http/openDlgSPN,ldap/c218f035-6fb6-4232-b101-c80a6a9603ae._msdcs.research.com,ldap/DC,ldap/DC/DomainDnsZones.research.com,ldap/DC/ForestDnsZones.research.com,ldap/DC/RESEARCH,ldap/DC/research.com,ldap/DC-2012,ldap/DC-2012.research.com,ldap/DC-2012.research.com/DomainDnsZones.research.com,ldap/DC-2012.research.com/ForestDnsZones.research.com,ldap/DC-2012.research.com/RESEARCH,ldap/DC-2012.research.com/research.com,ldap/DC-2012/DomainDnsZones.research.com,ldap/DC-2012/ForestDnsZones.research.com,ldap/DC-2012/RESEARCH,ldap/DC-2012/research.com,RestrictedKrbHost/DC,RestrictedKrbHost/DC-2012,RestrictedKrbHost/DC-2012.research.com,RestrictedKrbHost/SERVER-2016,RestrictedKrbHost/Server-2016.research.com,RPC/c218f035-6fb6-4232-b101-c80a6a9603ae._msdcs.Mars.local,RPC/c218f035-6fb6-4232-b101-c80a6a9603ae._msdcs.research.com,SQL/service,TERMSRV/DC,TERMSRV/DC-2012,TERMSRV/DC-2012.research.com,WSMAN/Server-2016,WSMAN/Server-2016.research.com",""
"Administrators,Enterprise Admins,Domain Admins","sysadmin@research.com","User","Yes","|","srvAccWithConsDlg@research.com","User","Constrained Delegation","Dfsr-12F9A27C-BF97-4787-9364-D31B6C55EB04/DC-2012.research.com,DNS/DC-2012.research.com,E3514235-4B06-11D1-AB04-00C04FC2DCD2/c218f035-6fb6-4232-b101-c80a6a9603ae/research.com,exchangeAB/DC,exchangeAB/DC-2012,exchangeAB/DC-2012.research.com,GC/DC/research.com,GC/DC-2012.research.com/research.com,GC/DC-2012/research.com,HOST/DC,HOST/DC/RESEARCH,HOST/DC/research.com,HOST/DC-2012,HOST/DC-2012.research.com,HOST/DC-2012.research.com/RESEARCH,HOST/DC-2012.research.com/research.com,HOST/DC-2012/RESEARCH,HOST/DC-2012/research.com,HOST/SERVER-2016,HOST/Server-2016.research.com,http/openDlgSPN,ldap/c218f035-6fb6-4232-b101-c80a6a9603ae._msdcs.research.com,ldap/DC,ldap/DC/DomainDnsZones.research.com,ldap/DC/ForestDnsZones.research.com,ldap/DC/RESEARCH,ldap/DC/research.com,ldap/DC-2012,ldap/DC-2012.research.com,ldap/DC-2012.research.com/DomainDnsZones.research.com,ldap/DC-2012.research.com/ForestDnsZones.research.com,ldap/DC-2012.research.com/RESEARCH,ldap/DC-2012.research.com/research.com,ldap/DC-2012/DomainDnsZones.research.com,ldap/DC-2012/ForestDnsZones.research.com,ldap/DC-2012/RESEARCH,ldap/DC-2012/research.com,RestrictedKrbHost/DC,RestrictedKrbHost/DC-2012,RestrictedKrbHost/DC-2012.research.com,RestrictedKrbHost/SERVER-2016,RestrictedKrbHost/Server-2016.research.com,RPC/c218f035-6fb6-4232-b101-c80a6a9603ae._msdcs.Mars.local,RPC/c218f035-6fb6-4232-b101-c80a6a9603ae._msdcs.research.com,SQL/service,TERMSRV/DC,TERMSRV/DC-2012,TERMSRV/DC-2012.research.com,WSMAN/Server-2016,WSMAN/Server-2016.research.com",""
"Administrators,Domain Admins","adminNotDelegated@research.com","User","No","|","srvAccWithConsDlg@research.com","User","Constrained Delegation","Dfsr-12F9A27C-BF97-4787-9364-D31B6C55EB04/DC-2012.research.com,DNS/DC-2012.research.com,E3514235-4B06-11D1-AB04-00C04FC2DCD2/c218f035-6fb6-4232-b101-c80a6a9603ae/research.com,exchangeAB/DC,exchangeAB/DC-2012,exchangeAB/DC-2012.research.com,GC/DC/research.com,GC/DC-2012.research.com/research.com,GC/DC-2012/research.com,HOST/DC,HOST/DC/RESEARCH,HOST/DC/research.com,HOST/DC-2012,HOST/DC-2012.research.com,HOST/DC-2012.research.com/RESEARCH,HOST/DC-2012.research.com/research.com,HOST/DC-2012/RESEARCH,HOST/DC-2012/research.com,HOST/SERVER-2016,HOST/Server-2016.research.com,http/openDlgSPN,ldap/c218f035-6fb6-4232-b101-c80a6a9603ae._msdcs.research.com,ldap/DC,ldap/DC/DomainDnsZones.research.com,ldap/DC/ForestDnsZones.research.com,ldap/DC/RESEARCH,ldap/DC/research.com,ldap/DC-2012,ldap/DC-2012.research.com,ldap/DC-2012.research.com/DomainDnsZones.research.com,ldap/DC-2012.research.com/ForestDnsZones.research.com,ldap/DC-2012.research.com/RESEARCH,ldap/DC-2012.research.com/research.com,ldap/DC-2012/DomainDnsZones.research.com,ldap/DC-2012/ForestDnsZones.research.com,ldap/DC-2012/RESEARCH,ldap/DC-2012/research.com,RestrictedKrbHost/DC,RestrictedKrbHost/DC-2012,RestrictedKrbHost/DC-2012.research.com,RestrictedKrbHost/SERVER-2016,RestrictedKrbHost/Server-2016.research.com,RPC/c218f035-6fb6-4232-b101-c80a6a9603ae._msdcs.Mars.local,RPC/c218f035-6fb6-4232-b101-c80a6a9603ae._msdcs.research.com,SQL/service,TERMSRV/DC,TERMSRV/DC-2012,TERMSRV/DC-2012.research.com,WSMAN/Server-2016,WSMAN/Server-2016.research.com","No"
,"Adminstrators@research.com","User","Yes","|","srvAccWithConsDlg@research.com","User","Constrained Delegation","Dfsr-12F9A27C-BF97-4787-9364-D31B6C55EB04/DC-2012.research.com,DNS/DC-2012.research.com,E3514235-4B06-11D1-AB04-00C04FC2DCD2/c218f035-6fb6-4232-b101-c80a6a9603ae/research.com,exchangeAB/DC,exchangeAB/DC-2012,exchangeAB/DC-2012.research.com,GC/DC/research.com,GC/DC-2012.research.com/research.com,GC/DC-2012/research.com,HOST/DC,HOST/DC/RESEARCH,HOST/DC/research.com,HOST/DC-2012,HOST/DC-2012.research.com,HOST/DC-2012.research.com/RESEARCH,HOST/DC-2012.research.com/research.com,HOST/DC-2012/RESEARCH,HOST/DC-2012/research.com,HOST/SERVER-2016,HOST/Server-2016.research.com,http/openDlgSPN,ldap/c218f035-6fb6-4232-b101-c80a6a9603ae._msdcs.research.com,ldap/DC,ldap/DC/DomainDnsZones.research.com,ldap/DC/ForestDnsZones.research.com,ldap/DC/RESEARCH,ldap/DC/research.com,ldap/DC-2012,ldap/DC-2012.research.com,ldap/DC-2012.research.com/DomainDnsZones.research.com,ldap/DC-2012.research.com/ForestDnsZones.research.com,ldap/DC-2012.research.com/RESEARCH,ldap/DC-2012.research.com/research.com,ldap/DC-2012/DomainDnsZones.research.com,ldap/DC-2012/ForestDnsZones.research.com,ldap/DC-2012/RESEARCH,ldap/DC-2012/research.com,RestrictedKrbHost/DC,RestrictedKrbHost/DC-2012,RestrictedKrbHost/DC-2012.research.com,RestrictedKrbHost/SERVER-2016,RestrictedKrbHost/Server-2016.research.com,RPC/c218f035-6fb6-4232-b101-c80a6a9603ae._msdcs.Mars.local,RPC/c218f035-6fb6-4232-b101-c80a6a9603ae._msdcs.research.com,SQL/service,TERMSRV/DC,TERMSRV/DC-2012,TERMSRV/DC-2012.research.com,WSMAN/Server-2016,WSMAN/Server-2016.research.com",""
,"localAdminWin10@research.com","User","Yes","|","srvAccWithConsDlg@research.com","User","Constrained Delegation","Dfsr-12F9A27C-BF97-4787-9364-D31B6C55EB04/DC-2012.research.com,DNS/DC-2012.research.com,E3514235-4B06-11D1-AB04-00C04FC2DCD2/c218f035-6fb6-4232-b101-c80a6a9603ae/research.com,exchangeAB/DC,exchangeAB/DC-2012,exchangeAB/DC-2012.research.com,GC/DC/research.com,GC/DC-2012.research.com/research.com,GC/DC-2012/research.com,HOST/DC,HOST/DC/RESEARCH,HOST/DC/research.com,HOST/DC-2012,HOST/DC-2012.research.com,HOST/DC-2012.research.com/RESEARCH,HOST/DC-2012.research.com/research.com,HOST/DC-2012/RESEARCH,HOST/DC-2012/research.com,HOST/SERVER-2016,HOST/Server-2016.research.com,http/openDlgSPN,ldap/c218f035-6fb6-4232-b101-c80a6a9603ae._msdcs.research.com,ldap/DC,ldap/DC/DomainDnsZones.research.com,ldap/DC/ForestDnsZones.research.com,ldap/DC/RESEARCH,ldap/DC/research.com,ldap/DC-2012,ldap/DC-2012.research.com,ldap/DC-2012.research.com/DomainDnsZones.research.com,ldap/DC-2012.research.com/ForestDnsZones.research.com,ldap/DC-2012.research.com/RESEARCH,ldap/DC-2012.research.com/research.com,ldap/DC-2012/DomainDnsZones.research.com,ldap/DC-2012/ForestDnsZones.research.com,ldap/DC-2012/RESEARCH,ldap/DC-2012/research.com,RestrictedKrbHost/DC,RestrictedKrbHost/DC-2012,RestrictedKrbHost/DC-2012.research.com,RestrictedKrbHost/SERVER-2016,RestrictedKrbHost/Server-2016.research.com,RPC/c218f035-6fb6-4232-b101-c80a6a9603ae._msdcs.Mars.local,RPC/c218f035-6fb6-4232-b101-c80a6a9603ae._msdcs.research.com,SQL/service,TERMSRV/DC,TERMSRV/DC-2012,TERMSRV/DC-2012.research.com,WSMAN/Server-2016,WSMAN/Server-2016.research.com",""
,"localAdminWin2016@research.com","User","Yes","|","srvAccWithConsDlg@research.com","User","Constrained Delegation","Dfsr-12F9A27C-BF97-4787-9364-D31B6C55EB04/DC-2012.research.com,DNS/DC-2012.research.com,E3514235-4B06-11D1-AB04-00C04FC2DCD2/c218f035-6fb6-4232-b101-c80a6a9603ae/research.com,exchangeAB/DC,exchangeAB/DC-2012,exchangeAB/DC-2012.research.com,GC/DC/research.com,GC/DC-2012.research.com/research.com,GC/DC-2012/research.com,HOST/DC,HOST/DC/RESEARCH,HOST/DC/research.com,HOST/DC-2012,HOST/DC-2012.research.com,HOST/DC-2012.research.com/RESEARCH,HOST/DC-2012.research.com/research.com,HOST/DC-2012/RESEARCH,HOST/DC-2012/research.com,HOST/SERVER-2016,HOST/Server-2016.research.com,http/openDlgSPN,ldap/c218f035-6fb6-4232-b101-c80a6a9603ae._msdcs.research.com,ldap/DC,ldap/DC/DomainDnsZones.research.com,ldap/DC/ForestDnsZones.research.com,ldap/DC/RESEARCH,ldap/DC/research.com,ldap/DC-2012,ldap/DC-2012.research.com,ldap/DC-2012.research.com/DomainDnsZones.research.com,ldap/DC-2012.research.com/ForestDnsZones.research.com,ldap/DC-2012.research.com/RESEARCH,ldap/DC-2012.research.com/research.com,ldap/DC-2012/DomainDnsZones.research.com,ldap/DC-2012/ForestDnsZones.research.com,ldap/DC-2012/RESEARCH,ldap/DC-2012/research.com,RestrictedKrbHost/DC,RestrictedKrbHost/DC-2012,RestrictedKrbHost/DC-2012.research.com,RestrictedKrbHost/SERVER-2016,RestrictedKrbHost/Server-2016.research.com,RPC/c218f035-6fb6-4232-b101-c80a6a9603ae._msdcs.Mars.local,RPC/c218f035-6fb6-4232-b101-c80a6a9603ae._msdcs.research.com,SQL/service,TERMSRV/DC,TERMSRV/DC-2012,TERMSRV/DC-2012.research.com,WSMAN/Server-2016,WSMAN/Server-2016.research.com",""
,"localAdminWin81@research.com","User","Yes","|","srvAccWithConsDlg@research.com","User","Constrained Delegation","Dfsr-12F9A27C-BF97-4787-9364-D31B6C55EB04/DC-2012.research.com,DNS/DC-2012.research.com,E3514235-4B06-11D1-AB04-00C04FC2DCD2/c218f035-6fb6-4232-b101-c80a6a9603ae/research.com,exchangeAB/DC,exchangeAB/DC-2012,exchangeAB/DC-2012.research.com,GC/DC/research.com,GC/DC-2012.research.com/research.com,GC/DC-2012/research.com,HOST/DC,HOST/DC/RESEARCH,HOST/DC/research.com,HOST/DC-2012,HOST/DC-2012.research.com,HOST/DC-2012.research.com/RESEARCH,HOST/DC-2012.research.com/research.com,HOST/DC-2012/RESEARCH,HOST/DC-2012/research.com,HOST/SERVER-2016,HOST/Server-2016.research.com,http/openDlgSPN,ldap/c218f035-6fb6-4232-b101-c80a6a9603ae._msdcs.research.com,ldap/DC,ldap/DC/DomainDnsZones.research.com,ldap/DC/ForestDnsZones.research.com,ldap/DC/RESEARCH,ldap/DC/research.com,ldap/DC-2012,ldap/DC-2012.research.com,ldap/DC-2012.research.com/DomainDnsZones.research.com,ldap/DC-2012.research.com/ForestDnsZones.research.com,ldap/DC-2012.research.com/RESEARCH,ldap/DC-2012.research.com/research.com,ldap/DC-2012/DomainDnsZones.research.com,ldap/DC-2012/ForestDnsZones.research.com,ldap/DC-2012/RESEARCH,ldap/DC-2012/research.com,RestrictedKrbHost/DC,RestrictedKrbHost/DC-2012,RestrictedKrbHost/DC-2012.research.com,RestrictedKrbHost/SERVER-2016,RestrictedKrbHost/Server-2016.research.com,RPC/c218f035-6fb6-4232-b101-c80a6a9603ae._msdcs.Mars.local,RPC/c218f035-6fb6-4232-b101-c80a6a9603ae._msdcs.research.com,SQL/service,TERMSRV/DC,TERMSRV/DC-2012,TERMSRV/DC-2012.research.com,WSMAN/Server-2016,WSMAN/Server-2016.research.com",""
"Administrators,Schema Admins,Enterprise Admins,Domain Admins","Administrator@research.com","User","Yes","|","srvAccWithDlg@research.com","User","Unconstrained Delegation","Any service (SPN)",""
"Administrators,Domain Admins","James@research.com","User","Yes","|","srvAccWithDlg@research.com","User","Unconstrained Delegation","Any service (SPN)",""
"Administrators,Enterprise Admins,Domain Admins","sysadmin@research.com","User","Yes","|","srvAccWithDlg@research.com","User","Unconstrained Delegation","Any service (SPN)",""
"Administrators,Domain Admins","adminNotDelegated@research.com","User","No","|","srvAccWithDlg@research.com","User","Unconstrained Delegation","Any service (SPN)","No"
,"Adminstrators@research.com","User","Yes","|","srvAccWithDlg@research.com","User","Unconstrained Delegation","Any service (SPN)",""
,"localAdminWin10@research.com","User","Yes","|","srvAccWithDlg@research.com","User","Unconstrained Delegation","Any service (SPN)",""
,"localAdminWin2016@research.com","User","Yes","|","srvAccWithDlg@research.com","User","Unconstrained Delegation","Any service (SPN)",""
,"localAdminWin81@research.com","User","Yes","|","srvAccWithDlg@research.com","User","Unconstrained Delegation","Any service (SPN)",""
"Administrators,Schema Admins,Enterprise Admins,Domain Admins","Administrator@research.com","User","Yes","|","srvAccWithDlgTrn@research.com","User","Protocol Transition","Dfsr-12F9A27C-BF97-4787-9364-D31B6C55EB04/DC-2012.research.com,DNS/DC-2012.research.com,E3514235-4B06-11D1-AB04-00C04FC2DCD2/c218f035-6fb6-4232-b101-c80a6a9603ae/research.com,exchangeAB/DC,exchangeAB/DC-2012,exchangeAB/DC-2012.research.com,GC/DC/research.com,GC/DC-2012.research.com/research.com,GC/DC-2012/research.com,HOST/DC,HOST/DC/RESEARCH,HOST/DC/research.com,HOST/DC-2012,HOST/DC-2012.research.com,HOST/DC-2012.research.com/RESEARCH,HOST/DC-2012.research.com/research.com,HOST/DC-2012/RESEARCH,HOST/DC-2012/research.com,http/openDlgSPN,ldap/c218f035-6fb6-4232-b101-c80a6a9603ae._msdcs.research.com,ldap/DC,ldap/DC/DomainDnsZones.research.com,ldap/DC/ForestDnsZones.research.com,ldap/DC/RESEARCH,ldap/DC/research.com,ldap/DC-2012,ldap/DC-2012.research.com,ldap/DC-2012.research.com/DomainDnsZones.research.com,ldap/DC-2012.research.com/ForestDnsZones.research.com,ldap/DC-2012.research.com/RESEARCH,ldap/DC-2012.research.com/research.com,ldap/DC-2012/DomainDnsZones.research.com,ldap/DC-2012/ForestDnsZones.research.com,ldap/DC-2012/RESEARCH,ldap/DC-2012/research.com,RestrictedKrbHost/DC,RestrictedKrbHost/DC-2012,RestrictedKrbHost/DC-2012.research.com,RPC/c218f035-6fb6-4232-b101-c80a6a9603ae._msdcs.Mars.local,RPC/c218f035-6fb6-4232-b101-c80a6a9603ae._msdcs.research.com,TERMSRV/DC,TERMSRV/DC-2012,TERMSRV/DC-2012.research.com","Yes"
"Administrators,Domain Admins","James@research.com","User","Yes","|","srvAccWithDlgTrn@research.com","User","Protocol Transition","Dfsr-12F9A27C-BF97-4787-9364-D31B6C55EB04/DC-2012.research.com,DNS/DC-2012.research.com,E3514235-4B06-11D1-AB04-00C04FC2DCD2/c218f035-6fb6-4232-b101-c80a6a9603ae/research.com,exchangeAB/DC,exchangeAB/DC-2012,exchangeAB/DC-2012.research.com,GC/DC/research.com,GC/DC-2012.research.com/research.com,GC/DC-2012/research.com,HOST/DC,HOST/DC/RESEARCH,HOST/DC/research.com,HOST/DC-2012,HOST/DC-2012.research.com,HOST/DC-2012.research.com/RESEARCH,HOST/DC-2012.research.com/research.com,HOST/DC-2012/RESEARCH,HOST/DC-2012/research.com,http/openDlgSPN,ldap/c218f035-6fb6-4232-b101-c80a6a9603ae._msdcs.research.com,ldap/DC,ldap/DC/DomainDnsZones.research.com,ldap/DC/ForestDnsZones.research.com,ldap/DC/RESEARCH,ldap/DC/research.com,ldap/DC-2012,ldap/DC-2012.research.com,ldap/DC-2012.research.com/DomainDnsZones.research.com,ldap/DC-2012.research.com/ForestDnsZones.research.com,ldap/DC-2012.research.com/RESEARCH,ldap/DC-2012.research.com/research.com,ldap/DC-2012/DomainDnsZones.research.com,ldap/DC-2012/ForestDnsZones.research.com,ldap/DC-2012/RESEARCH,ldap/DC-2012/research.com,RestrictedKrbHost/DC,RestrictedKrbHost/DC-2012,RestrictedKrbHost/DC-2012.research.com,RPC/c218f035-6fb6-4232-b101-c80a6a9603ae._msdcs.Mars.local,RPC/c218f035-6fb6-4232-b101-c80a6a9603ae._msdcs.research.com,TERMSRV/DC,TERMSRV/DC-2012,TERMSRV/DC-2012.research.com","Yes"
"Administrators,Enterprise Admins,Domain Admins","sysadmin@research.com","User","Yes","|","srvAccWithDlgTrn@research.com","User","Protocol Transition","Dfsr-12F9A27C-BF97-4787-9364-D31B6C55EB04/DC-2012.research.com,DNS/DC-2012.research.com,E3514235-4B06-11D1-AB04-00C04FC2DCD2/c218f035-6fb6-4232-b101-c80a6a9603ae/research.com,exchangeAB/DC,exchangeAB/DC-2012,exchangeAB/DC-2012.research.com,GC/DC/research.com,GC/DC-2012.research.com/research.com,GC/DC-2012/research.com,HOST/DC,HOST/DC/RESEARCH,HOST/DC/research.com,HOST/DC-2012,HOST/DC-2012.research.com,HOST/DC-2012.research.com/RESEARCH,HOST/DC-2012.research.com/research.com,HOST/DC-2012/RESEARCH,HOST/DC-2012/research.com,http/openDlgSPN,ldap/c218f035-6fb6-4232-b101-c80a6a9603ae._msdcs.research.com,ldap/DC,ldap/DC/DomainDnsZones.research.com,ldap/DC/ForestDnsZones.research.com,ldap/DC/RESEARCH,ldap/DC/research.com,ldap/DC-2012,ldap/DC-2012.research.com,ldap/DC-2012.research.com/DomainDnsZones.research.com,ldap/DC-2012.research.com/ForestDnsZones.research.com,ldap/DC-2012.research.com/RESEARCH,ldap/DC-2012.research.com/research.com,ldap/DC-2012/DomainDnsZones.research.com,ldap/DC-2012/ForestDnsZones.research.com,ldap/DC-2012/RESEARCH,ldap/DC-2012/research.com,RestrictedKrbHost/DC,RestrictedKrbHost/DC-2012,RestrictedKrbHost/DC-2012.research.com,RPC/c218f035-6fb6-4232-b101-c80a6a9603ae._msdcs.Mars.local,RPC/c218f035-6fb6-4232-b101-c80a6a9603ae._msdcs.research.com,TERMSRV/DC,TERMSRV/DC-2012,TERMSRV/DC-2012.research.com","Yes"
"Administrators,Domain Admins","adminNotDelegated@research.com","User","No","|","srvAccWithDlgTrn@research.com","User","Protocol Transition","Dfsr-12F9A27C-BF97-4787-9364-D31B6C55EB04/DC-2012.research.com,DNS/DC-2012.research.com,E3514235-4B06-11D1-AB04-00C04FC2DCD2/c218f035-6fb6-4232-b101-c80a6a9603ae/research.com,exchangeAB/DC,exchangeAB/DC-2012,exchangeAB/DC-2012.research.com,GC/DC/research.com,GC/DC-2012.research.com/research.com,GC/DC-2012/research.com,HOST/DC,HOST/DC/RESEARCH,HOST/DC/research.com,HOST/DC-2012,HOST/DC-2012.research.com,HOST/DC-2012.research.com/RESEARCH,HOST/DC-2012.research.com/research.com,HOST/DC-2012/RESEARCH,HOST/DC-2012/research.com,http/openDlgSPN,ldap/c218f035-6fb6-4232-b101-c80a6a9603ae._msdcs.research.com,ldap/DC,ldap/DC/DomainDnsZones.research.com,ldap/DC/ForestDnsZones.research.com,ldap/DC/RESEARCH,ldap/DC/research.com,ldap/DC-2012,ldap/DC-2012.research.com,ldap/DC-2012.research.com/DomainDnsZones.research.com,ldap/DC-2012.research.com/ForestDnsZones.research.com,ldap/DC-2012.research.com/RESEARCH,ldap/DC-2012.research.com/research.com,ldap/DC-2012/DomainDnsZones.research.com,ldap/DC-2012/ForestDnsZones.research.com,ldap/DC-2012/RESEARCH,ldap/DC-2012/research.com,RestrictedKrbHost/DC,RestrictedKrbHost/DC-2012,RestrictedKrbHost/DC-2012.research.com,RPC/c218f035-6fb6-4232-b101-c80a6a9603ae._msdcs.Mars.local,RPC/c218f035-6fb6-4232-b101-c80a6a9603ae._msdcs.research.com,TERMSRV/DC,TERMSRV/DC-2012,TERMSRV/DC-2012.research.com","No"
,"Adminstrators@research.com","User","Yes","|","srvAccWithDlgTrn@research.com","User","Protocol Transition","Dfsr-12F9A27C-BF97-4787-9364-D31B6C55EB04/DC-2012.research.com,DNS/DC-2012.research.com,E3514235-4B06-11D1-AB04-00C04FC2DCD2/c218f035-6fb6-4232-b101-c80a6a9603ae/research.com,exchangeAB/DC,exchangeAB/DC-2012,exchangeAB/DC-2012.research.com,GC/DC/research.com,GC/DC-2012.research.com/research.com,GC/DC-2012/research.com,HOST/DC,HOST/DC/RESEARCH,HOST/DC/research.com,HOST/DC-2012,HOST/DC-2012.research.com,HOST/DC-2012.research.com/RESEARCH,HOST/DC-2012.research.com/research.com,HOST/DC-2012/RESEARCH,HOST/DC-2012/research.com,http/openDlgSPN,ldap/c218f035-6fb6-4232-b101-c80a6a9603ae._msdcs.research.com,ldap/DC,ldap/DC/DomainDnsZones.research.com,ldap/DC/ForestDnsZones.research.com,ldap/DC/RESEARCH,ldap/DC/research.com,ldap/DC-2012,ldap/DC-2012.research.com,ldap/DC-2012.research.com/DomainDnsZones.research.com,ldap/DC-2012.research.com/ForestDnsZones.research.com,ldap/DC-2012.research.com/RESEARCH,ldap/DC-2012.research.com/research.com,ldap/DC-2012/DomainDnsZones.research.com,ldap/DC-2012/ForestDnsZones.research.com,ldap/DC-2012/RESEARCH,ldap/DC-2012/research.com,RestrictedKrbHost/DC,RestrictedKrbHost/DC-2012,RestrictedKrbHost/DC-2012.research.com,RPC/c218f035-6fb6-4232-b101-c80a6a9603ae._msdcs.Mars.local,RPC/c218f035-6fb6-4232-b101-c80a6a9603ae._msdcs.research.com,TERMSRV/DC,TERMSRV/DC-2012,TERMSRV/DC-2012.research.com","Yes"
